id,Price
0,2759145
1,10926785
2,20212944
3,46541311
4,46335226
5,40376300
6,30761703
7,52349267
8,7152888
9,15235187
10,53137305
11,10853165
12,26060494
13,41727236
14,10350654
15,40175477
16,17113086
17,39378114
18,57353639
19,39091681
20,6218330
21,20031954
22,31158773
23,9443456
24,36901332
25,23706512
26,5086553
27,2591488
28,46250500
29,33080252
30,34500081
31,21051711
32,34376219
33,41009162
34,35075896
35,35632077
36,24689876
37,9396653
38,58633354
39,52399841
40,23890428
41,57146681
42,57030506
43,20816157
44,12749802
45,42567332
46,17014926
47,7635469
48,11824468
49,27654833
50,25624126
51,52749968
52,51779952
53,41462406
54,13541436
55,58439907
56,27008957
57,27574945
58,6110289
59,47400066
60,55159301
61,50820822
62,10130148
63,33712168
64,16779207
65,25621338
66,40123337
67,45647699
68,54987036
69,34055469
70,33279419
71,36101544
72,42688192
73,38585234
74,3736443
75,40734268
76,21743270
77,4506505
78,20968601
79,14593503
80,42524536
81,24695907
82,11167731
83,26219363
84,4205570
85,22385191
86,9735509
87,26186521
88,2875621
89,36442985
90,43879464
91,33673220
92,58771219
93,37824323
94,26510610
95,12171569
96,8632587
97,32031578
98,48592391
99,36522497
100,44421229
101,43715226
102,16760977
103,42657698
104,23553855
105,20982687
106,4513847
107,43947972
108,54855505
109,26938622
110,10597160
111,27331062
112,15182031
113,39275841
114,39503822
115,28076956
116,49989175
117,55449236
118,48137844
119,16017417
120,20962358
121,56604455
122,32173040
123,40194885
124,18206965
125,30261698
126,51575296
127,43172245
128,13309761
129,23919783
130,21208830
131,16710461
132,3726162
133,35330647
134,24432728
135,58799197
136,8849524
137,28370252
138,30275158
139,8777900
140,3178090
141,20514068
142,14010759
143,53888940
144,42072911
145,18561281
146,24899349
147,17411567
148,26920448
149,29492771
150,45467809
151,29905414
152,22400047
153,19723229
154,56559267
155,54780200
156,57171841
157,13688736
158,15675528
159,43680654
160,18027301
161,2608565
162,38236782
163,53859265
164,48008994
165,45850263
166,21726669
167,35287318
168,7169371
169,29196241
170,5357485
171,49248827
172,13558094
173,19437076
174,47841368
175,39655750
176,36385745
177,1920568
178,27483830
179,28092073
180,6331401
181,9192671
182,14751338
183,27080868
184,44908378
185,9071320
186,9206057
187,11929808
188,12283778
189,5246814
190,11450599
191,21169411
192,11703106
193,21484956
194,56425145
195,37068174
196,55734439
197,57690177
198,47071556
199,33290923
200,56397478
201,40040019
202,35633586
203,21513343
204,54378615
205,30029858
206,17795740
207,10363725
208,14428798
209,16623279
210,28246276
211,27885933
212,33543077
213,49689788
214,9330890
215,5468764
216,42700335
217,57298859
218,56415421
219,58619610
220,43301376
221,19793096
222,36764388
223,10299202
224,5123584
225,12719856
226,8940501
227,38622168
228,37131772
229,59610117
230,49752486
231,7309120
232,36555825
233,41293005
234,11839349
235,53346251
236,55482727
237,29169716
238,57823652
239,14022889
240,5581743
241,55418643
242,40823195
243,42157466
244,53069832
245,57281134
246,33062751
247,34126208
248,24884759
249,21357126
250,29885809
251,6955405
252,1791315
253,41811361
254,39941530
255,24774424
256,26885410
257,16283151
258,28432263
259,18395290
260,22109181
261,40112302
262,49553902
263,20257597
264,14085298
265,17512164
266,17459753
267,23871148
268,53142994
269,28817073
270,59403299
271,36885994
272,16727695
273,12697548
274,50168717
275,17795426
276,59740601
277,15554536
278,24283169
279,33989675
280,40847109
281,52680032
282,25291172
283,23731620
284,15910603
285,36941127
286,46815188
287,4119072
288,41574982
289,34942854
290,41632334
291,16343261
292,53397126
293,25355668
294,6703880
295,33029039
296,7206791
297,38744999
298,39506612
299,58011935
300,8566699
301,11707453
302,43075403
303,33248017
304,59142577
305,47909653
306,32440927
307,40829296
308,59666025
309,34938571
310,57514271
311,10891085
312,50464491
313,38579688
314,29247710
315,25201564
316,12717278
317,49915918
318,33091351
319,41683219
320,23709834
321,53789179
322,45498402
323,30636938
324,7050539
